titles,author,number_of_reviews,number_of_ratings,average_rating,number_of_pages,first_published,series,genres,url,cover_url,length,rating_range
How to Win Friends and Influence People,Dale Carnegie,18336,743472,8.4,288,1936,False,"['Nonfiction', 'Self Help', 'Business']",https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442726934l/4865._SY475_.jpg,medium,very good
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,11963,609457,8.3,372,1988,False,"['', '', '']",https://www.goodreads.com/book/show/36072.The_7_Habits_of_Highly_Effective_People,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421842784l/36072.jpg,medium,very good
Think and Grow Rich,Napoleon Hill,8042,262114,8.3,233,1937,False,"['Nonfiction', 'Self Help > Personal Development', 'Psychology']",https://www.goodreads.com/book/show/30186948-think-and-grow-rich,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463241782l/30186948._SY475_.jpg,medium,very good
Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,4957,153354,8.2,300,2001,False,"['Business', 'Leadership', 'Nonfiction']",https://www.goodreads.com/book/show/76865.Good_to_Great,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546097703l/76865.jpg,medium,very good
"Rich Dad, Poor Dad",Robert T. Kiyosaki,17473,456827,8.2,195,1997,True,"['Business', 'Nonfiction', 'Economics > Finance']",https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388211242l/69571.jpg,short,very good
Getting Things Done: The Art of Stress-Free Productivity,David Allen,5597,145104,8.0,267,2001,False,"['Nonfiction', 'Business', 'Productivity']",https://www.goodreads.com/book/show/1633.Getting_Things_Done,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312474060l/1633.jpg,medium,very good
Influence: The Psychology of Persuasion,Robert B. Cialdini,4361,123123,8.4,320,1984,False,"['Psychology', 'Business', 'Nonfiction']",https://www.goodreads.com/book/show/28815.Influence,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391026083l/28815.jpg,medium,very good
The 4-Hour Workweek,Timothy Ferriss,7661,235224,7.8,308,2007,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/368593.The_4_Hour_Workweek,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442957271l/368593._SY475_.jpg,medium,good
The 48 Laws of Power,Robert Greene,4962,98413,8.2,452,1998,False,"['Nonfiction', 'Psychology', 'Business']",https://www.goodreads.com/book/show/1303.The_48_Laws_of_Power,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634897112l/1303._SX318_.jpg,long,very good
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,17282,772183,8.0,268,2005,True,"['Nonfiction', 'Economics', 'Business']",https://www.goodreads.com/book/show/1202.Freakonomics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550917827l/1202._SX318_.jpg,medium,very good
